Target,AccMeanX,AccMeanY,AccMeanZ,AccCovX,AccCovY,AccCovZ,AccSkewX,AccSkewY,AccSkewZ,AccKurtX,AccKurtY,AccKurtZ,AccSumZ,AccMinX,AccMinZ,GyroMeanY,GyroCovX,GyroCovY,GyroSkewX,GyroSkewY,GyroSkewZ,GyroKurtX,GyroKurtY,GyroKurtZ,GyroMaxX,GyroMaxY,GyroMedianZ
1,0.28533935546875,-0.13861083984375,-0.957763671875,0.022149538000424702,0.003975128134091695,0.0019262234369913736,0.8675941232473949,-1.3058678368257428,-0.507254093830019,-1.164805719977732,1.2398402140041647,-0.7610645928248392,-3.8310546875,0.16259765625,-1.01318359375,4.190839694656488,0.761120175591943,0.18437154012004459,0.22535226422766655,-0.338028342080587,-1.7271831095975467,-4.710496332049015,-4.03586811805139,2.9147956974156273,0.7862595419847328,4.564885496183206,0.7061068702290076
1,0.3134765625,-0.161669921875,-0.95625,0.020570665597915653,0.005639952421188348,0.001456123590469205,0.002474080496286662,-0.3950876184076279,-0.6775722668425516,-2.6494412535793956,-2.6498026514738577,0.6367618126472708,-4.78125,0.16259765625,-1.01318359375,3.8916030534351145,3.0610803566225755,0.5859914923372767,1.2820797030110362,-1.0693717422522053,-0.5015299501089073,1.6330175090053298,0.846741563008352,-2.9328927120773405,3.3511450381679397,4.564885496183206,0.5877862595419847
1,0.3251953125,-0.1583251953125,-0.9501546223958334,0.01728050708770752,0.004579085111618042,0.0013878206411996885,-0.3542121748734608,-0.6036574343882443,-0.9846350069931807,-1.819231825629774,-1.4722505163139619,0.663006286695533,-5.700927734375,0.16259765625,-1.01318359375,3.7735368956743005,3.137076316453976,0.5524308995202262,1.309764668393348,-0.3788637173136753,-1.3027397586426008,1.6631698505480526,-1.1922464799374357,1.5406392859258868,3.3511450381679397,4.564885496183206,0.24045801526717556
1,0.33656529017857145,-0.17246791294642858,-0.9376395089285714,0.01530535731996808,0.00521601949419294,0.0022529136566889303,-0.6556531802661598,-0.15245410015961164,-0.04052970499661275,-1.214712255654473,-2.1854850903576746,0.6662092430434647,-6.5634765625,0.16259765625,-1.01318359375,4.480916030534352,2.8095238095238106,3.9630557659809975,0.861001767400908,2.0097066195790254,-0.6677976458458115,0.4341899011506918,4.6420074036613865,-0.6801040376189406,3.3511450381679397,8.725190839694656,-0.1068702290076336
1,0.337860107421875,-0.1641845703125,-0.941680908203125,0.013132290116378238,0.005019783973693848,0.0020617321133613586,-0.7184875391926304,-0.446060798415271,0.25053948730198466,-0.666621833514607,-1.909540390552563,0.5561156239172201,-7.533447265625,0.16259765625,-1.01318359375,4.434160305343512,2.6675674494493333,3.4143937249743965,1.072054859801441,2.1511577903315033,-0.38824840196725413,0.7377497407428374,5.422660611794532,-0.8171325417310655,3.3511450381679397,8.725190839694656,-0.17938931297709926
1,0.3310546875,-0.174560546875,-0.9490831163194444,0.011907577514648443,0.00536125898361206,0.002297149764166978,-0.4896319185576068,-0.12368177186016234,0.3491784318419822,-0.7758198938540928,-2.1905818499652616,-0.08641641870985138,-8.541748046875,0.16259765625,-1.01318359375,4.506361323155216,2.3358050230173073,3.034511392110015,1.138383142525122,2.014693447072492,-0.4596789442037761,1.2399842271411115,5.0651007870764335,-0.8121864967232169,3.3511450381679397,8.725190839694656,-0.2519083969465649
1,0.3138427734375,-0.16826171875,-0.951318359375,0.013547013203303022,0.005162315898471404,0.002091874016655954,-0.23880982547568644,-0.3492320118840124,0.5144678172087956,-1.3868428038673228,-2.016279873165761,0.20991269825638323,-9.51318359375,0.158935546875,-1.01318359375,4.421374045801527,2.237490045257659,2.769571832773276,1.2835545879440171,2.1699995558260654,-0.6245800510730452,1.5343410563991944,5.767468258878613,-0.7317445949250718,3.3511450381679397,8.725190839694656,-0.17938931297709926
1,0.3014248934659091,-0.16208718039772727,-0.9559437144886364,0.013888553055849922,0.005065458471124825,0.0021180196241899598,-0.004837534057502327,-0.5289389564325667,0.6491051546743156,-1.6016370568960643,-1.795529190431484,0.11486845402002722,-10.515380859375,0.158935546875,-1.01318359375,4.319916724496878,2.1098579760662397,2.605844118005411,1.4265227229799609,2.2827681829715187,-0.7844705749931179,1.9334274404961438,6.282590519869881,-0.5277265054977754,3.3511450381679397,8.725190839694656,-0.1068702290076336
1,0.2914021809895833,-0.15653483072916666,-0.9579671223958334,0.013831414508097101,0.004974905288580695,0.0019746025403338907,0.18658726108435475,-0.6771323133788824,0.7898702977783012,-1.621831017610132,-1.5515329407257639,0.40092189006426665,-11.49560546875,0.158935546875,-1.01318359375,4.270356234096693,1.9690255212223633,2.398424104691216,1.5607273691564711,2.416529243322474,-0.9207963177342986,2.398147454143523,7.008021485063289,-0.29347662533163354,3.3511450381679397,8.725190839694656,0.24045801526717556
1,0.2925555889423077,-0.15685096153846154,-0.9571063701923077,0.012696091181192632,0.004561629050817246,0.0018196839552659012,0.15547717396170008,-0.6796553059015036,0.7362770501030463,-1.4328678157578063,-1.3624210063643618,0.5548778436179636,-12.4423828125,0.158935546875,-1.01318359375,4.256018790369936,1.8049438276115048,2.201227739104314,1.6068431312497224,2.515282898123721,-1.0261484749655065,2.77354736043139,7.677661779697844,-0.07467998710779088,3.3511450381679397,8.725190839694656,0.5877862595419847
